PID,area,price,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Year.Built,Foundation,Heating,Electrical
527427230,1337,184000,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NAmes,1999,PConc,GasA,SBrkr
527451180,987,96000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,1971,CBlock,GasA,SBrkr
527451330,1092,105500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,1971,CBlock,GasA,SBrkr
527451410,1092,88000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,1971,CBlock,GasA,SBrkr
527452190,1069,127500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,1977,CBlock,GasA,SBrkr
527453130,1456,149900,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,1975,CBlock,GasA,SBrkr
527453150,836,120000,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,1975,CBlock,GasA,SBrkr
527454200,1456,146000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,1978,CBlock,GasA,SBrkr
528108120,2334,376162,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2009,PConc,GasA,SBrkr
528112020,1704,306000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,2007,PConc,GasA,SBrkr
528120060,1940,395192,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2009,PConc,GasA,SBrkr
528120090,1544,290941,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,2009,PConc,GasA,SBrkr
528120100,1541,220000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,2005,PConc,GasA,SBrkr
528120120,1698,275000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,2005,PConc,GasA,SBrkr
528138020,1822,259000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2005,PConc,GasA,SBrkr
528138060,1535,214000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2004,PConc,GasA,SBrkr
528150070,2364,611657,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2009,PConc,GasA,SBrkr
528175010,1358,224000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2009,PConc,GasA,SBrkr
528176010,2696,500000,Pave,NA,Reg,HLS,AllPub,Inside,Mod,NridgHt,2003,PConc,GasA,SBrkr
528176070,2250,320000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,2002,PConc,GasA,SBrkr
528180070,1752,319900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,2005,PConc,GasA,SBrkr
528181050,1370,205000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,2006,PConc,GasA,SBrkr
528188120,1626,175500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,2003,PConc,GasA,SBrkr
528218150,1324,199500,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,2005,PConc,GasA,SBrkr
528228285,1145,160000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,2006,PConc,GasA,SBrkr
528228440,1269,192000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,2004,PConc,GasA,SBrkr
528231020,1374,184500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,2004,PConc,GasA,SBrkr
528240070,1960,216500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,2002,PConc,GasA,SBrkr
528240130,1733,185088,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,2004,PConc,GasA,SBrkr
528250100,1430,180000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,2000,PConc,GasA,SBrkr
528292020,2035,222500,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,2001,PConc,GasA,SBrkr
528328100,2599,333168,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,1999,PConc,GasA,SBrkr
528344070,2475,355000,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,1998,PConc,GasA,SBrkr
528358010,1720,260400,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,1996,PConc,GasA,SBrkr
528363130,2622,325000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,1994,PConc,GasA,SBrkr
528382020,2270,290000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,1999,PConc,GasA,SBrkr
528382030,1839,221000,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,1998,PConc,GasA,SBrkr
528386040,3238,410000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,1995,PConc,GasA,SBrkr
528445060,1595,221500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2005,PConc,GasA,SBrkr
528456160,1218,204500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2009,PConc,GasA,SBrkr
528458070,1547,215200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2009,PConc,GasA,SBrkr
528458110,1566,262500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2008,PConc,GasA,SBrkr
528477080,1947,254900,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,2004,PConc,GasA,SBrkr
528480090,1468,271500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,2005,PConc,GasA,SBrkr
531367050,2084,233000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,2004,PConc,GasA,SBrkr
531369060,1659,181000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,2004,PConc,GasA,SBrkr
531380080,2110,205000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,1994,PConc,GasA,SBrkr
531451110,923,143000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1980,CBlock,GasA,SBrkr
531451280,1845,189000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1992,PConc,GasA,SBrkr
531452020,918,99500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1979,CBlock,GasA,SBrkr
531452050,752,125000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1984,CBlock,GasA,SBrkr
531452180,1744,194500,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,1993,PConc,GasA,SBrkr
531453010,1097,152000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,1984,PConc,GasA,SBrkr
531453040,1564,171000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1980,CBlock,GasA,SBrkr
531477050,1012,67500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,1920,BrkTil,GasA,FuseA
532351140,1902,112000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1978,Slab,GasA,SBrkr
532354090,1155,148000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1961,CBlock,GasA,SBrkr
532376160,894,138500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1965,CBlock,GasA,SBrkr
532377060,900,122000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1967,CBlock,GasA,SBrkr
532377100,1040,133000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,1963,CBlock,GasA,SBrkr
532378110,1040,127000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,1962,CBlock,GasA,SBrkr
532479070,1494,169000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,1974,CBlock,GasA,SBrkr
533130020,1923,190000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,1992,PConc,GasA,SBrkr
533130130,2349,362500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,1993,PConc,GasA,SBrkr
533130160,2225,285000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,1992,PConc,GasA,SBrkr
533205060,1488,260000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,2004,PConc,GasA,SBrkr
533208090,1680,190000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2004,PConc,GasA,SBrkr
533210060,1200,155000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2004,PConc,GasA,SBrkr
533212010,1200,151000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2004,PConc,GasA,SBrkr
533212020,1200,149500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2004,PConc,GasA,SBrkr
533212060,1236,152000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2005,PConc,GasA,SBrkr
533213030,1478,222000,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Somerst,2009,PConc,GasA,SBrkr
533221090,1573,177500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2000,PConc,GasA,SBrkr
533221110,1512,177000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,2000,PConc,GasA,SBrkr
533223020,1416,155000,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Somerst,1999,PConc,GasA,SBrkr
533223100,1080,147110,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Somerst,2003,PConc,GasA,SBrkr
533238045,1418,267916,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,2010,PConc,GasA,SBrkr
533244030,1848,254000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,2000,PConc,GasA,SBrkr
533253060,788,155000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Greens,1980,CBlock,GasA,SBrkr
533253210,1226,206000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Greens,1978,CBlock,GasA,SBrkr
533352170,1479,130500,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,1976,CBlock,GasA,SBrkr
534102025,1492,230000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2002,PConc,GasA,SBrkr
534129040,1829,218500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,1967,CBlock,GasA,SBrkr
534151175,2495,243500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1993,PConc,GasA,SBrkr
534152050,1610,205000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,1977,PConc,GasA,SBrkr
534152070,1891,212500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,1978,PConc,GasA,SBrkr
534152100,1714,196500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1988,CBlock,GasA,SBrkr
534176060,1381,197500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1972,CBlock,GasA,SBrkr
534176230,1645,171000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1971,CBlock,GasA,SBrkr
534202160,1232,142250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1966,CBlock,GasA,SBrkr
534251320,1328,143000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1963,CBlock,GasA,SBrkr
534276360,1225,128950,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
534401110,1209,159000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1966,PConc,GasA,SBrkr
534401140,1510,178900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1967,CBlock,GasA,SBrkr
534403360,1775,136300,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1964,CBlock,GasA,SBrkr
534403410,1152,180500,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1964,PConc,GasA,SBrkr
534425310,1054,137500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1963,PConc,GasA,SBrkr
534427010,1728,84900,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1962,CBlock,GasA,SBrkr
534430080,1078,142125,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1950,CBlock,GasA,FuseA
534431050,2461,197600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1952,CBlock,GasA,SBrkr
534431070,1556,172500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1949,CBlock,GasA,SBrkr
534450180,858,116500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1958,CBlock,GasA,SBrkr
534451150,1306,76500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1940,CBlock,GasA,SBrkr
534475100,1063,128000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1954,CBlock,GasA,SBrkr
534476260,1520,153000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1955,CBlock,GasA,SBrkr
534479320,1268,132000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1954,PConc,GasA,SBrkr
535101020,1128,178000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1966,CBlock,GasA,SBrkr
535106190,2274,154300,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1960,CBlock,GasA,FuseA
535125010,2207,180000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1970,CBlock,GasA,SBrkr
535126040,1888,190000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1966,CBlock,GasA,SBrkr
535152010,1604,135000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1958,CBlock,GasA,SBrkr
535152050,1480,214000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,2003,PConc,GasA,SBrkr
535152130,1143,136000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535152150,1700,165500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535152250,1314,145000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1957,CBlock,GasA,SBrkr
535153070,1194,148000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535154050,1188,142000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535175070,1264,167500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1960,CBlock,GasA,SBrkr
535175180,1206,108538,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535179020,1580,159500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535180130,1337,108000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1956,CBlock,GasA,FuseA
535302080,1064,135000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1952,CBlock,GasA,SBrkr
535302200,972,122500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1955,CBlock,GasA,SBrkr
535304060,988,119000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1958,CBlock,GasA,SBrkr
535304180,1057,109000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1953,CBlock,GasA,SBrkr
535325400,985,105000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1920,BrkTil,GasA,SBrkr
535327140,827,107500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1955,Slab,GasA,SBrkr
535350030,1086,144900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1954,CBlock,GasA,SBrkr
535350040,936,129000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1956,CBlock,GasA,SBrkr
535353190,1458,97500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1948,CBlock,GasA,SBrkr
535377090,1056,144000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1980,CBlock,GasA,SBrkr
535401080,1287,162000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535425010,2978,242000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1967,CBlock,GasA,SBrkr
535450210,1224,132000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1948,CBlock,GasA,SBrkr
535453070,1246,154000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1959,CBlock,GasA,SBrkr
535454070,1385,166000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1952,CBlock,GasA,SBrkr
535456110,900,134800,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1951,CBlock,GasA,SBrkr
535457010,1116,160000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1962,CBlock,GasA,SBrkr
535457090,1175,148000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1960,CBlock,GasA,SBrkr
535476350,1395,192000,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,NAmes,1963,CBlock,GasA,SBrkr
535477020,1839,155000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1966,CBlock,GasA,SBrkr
902102100,1844,80400,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1900,PConc,GasA,SBrkr
902104060,1140,96500,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1910,BrkTil,GasA,SBrkr
902106130,936,109500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1920,PConc,GasA,SBrkr
902106140,1028,115000,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1927,CBlock,GasA,FuseA
902110090,1347,143000,Pave,Grvl,Reg,Bnk,AllPub,Inside,Mod,OldTown,1957,CBlock,GasA,SBrkr
902125080,1605,107400,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1915,CBlock,GasA,SBrkr
902125160,747,80000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1945,CBlock,GasA,SBrkr
902128170,804,119000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1940,CBlock,GasA,SBrkr
902206040,1316,130000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1929,BrkTil,GasA,SBrkr
902206130,1251,119000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1938,PConc,GasA,SBrkr
902206220,1633,129000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1948,BrkTil,GasA,SBrkr
902206240,1245,100000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1920,BrkTil,GasA,SBrkr
902207130,832,12789,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1923,BrkTil,GasA,SBrkr
902207140,720,105900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1928,BrkTil,GasA,SBrkr
902305110,1566,150000,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1900,BrkTil,GasW,SBrkr
902327040,1652,139000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1915,PConc,GasA,SBrkr
902329030,2268,240000,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1890,Stone,GasA,SBrkr
902401060,2256,76500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1910,BrkTil,Grav,FuseF
902402010,1236,149700,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1957,CBlock,GasA,FuseA
902402130,1363,125500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1910,CBlock,GasA,SBrkr
902402250,2290,122500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1885,PConc,GasA,SBrkr
902403070,1470,140750,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1922,CBlock,GasA,SBrkr
903204040,1612,128500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1950,CBlock,GasA,SBrkr
903206120,2068,209500,Pave,NA,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,1922,BrkTil,GasA,FuseA
903225150,765,87000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1925,BrkTil,GasA,FuseF
903226160,1132,134000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1939,BrkTil,GasA,SBrkr
903227020,1196,128000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1940,CBlock,GasA,FuseA
903227150,1453,132000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1942,CBlock,GasA,FuseA
903228150,1416,139900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1948,CBlock,GasA,SBrkr
903232190,1040,123900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1936,CBlock,GasA,SBrkr
903233120,1536,138400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1930,BrkTil,GasA,FuseF
903234050,1068,109500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1923,BrkTil,GasA,SBrkr
903425110,1710,140000,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,1921,BrkTil,GasA,SBrkr
903426180,1962,149500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1915,CBlock,GasA,SBrkr
903426200,1560,159900,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1912,PConc,GasA,SBrkr
903430080,1324,122000,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1920,BrkTil,GasA,SBrkr
903450110,816,110000,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,1963,CBlock,GasA,SBrkr
903454060,1092,55000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1930,Slab,GasA,SBrkr
903476030,1812,140000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1900,BrkTil,GasA,SBrkr
904100140,2403,244400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,1940,CBlock,GasA,SBrkr
904101110,1675,173000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,1959,CBlock,GasA,SBrkr
904300150,1224,107500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,1917,BrkTil,GasA,SBrkr
904302260,1392,100000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,1915,BrkTil,GasA,SBrkr
904350045,919,95000,Pave,NA,IR1,Bnk,AllPub,Inside,Mod,SWISU,1940,CBlock,GasA,SBrkr
904351040,1884,93369,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SWISU,1907,CBlock,GasW,SBrkr
904352190,1680,114900,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SWISU,1910,BrkTil,GasA,SBrkr
905101100,1020,94000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1875,CBlock,GasA,SBrkr
905101300,1832,136000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1967,CBlock,GasA,SBrkr
905101310,1768,136500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1968,CBlock,GasA,SBrkr
905102060,1039,131500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1965,PConc,GasA,SBrkr
